id,name,sponsor,type,covers,offers,how_to_access
sybrava-emi-bogo-scheme,Sybrava EMI & BOGO scheme,Novartis (with Pine Labs),Financial — zero-interest EMI,Inclisiran (Sybrava),"Splits ~₹1.2 lakh/dose into ~₹15,000–16,000/month zero-interest instalments; 2nd injection free (buy-one-get-one).",Enrol at point of purchase via cardiologist. First-of-its-kind CV financing in India.
pradhan-mantri-bhartiya-janaushadhi-pariyojana-jan-aushadhi-pmbjp,Pradhan Mantri Bhartiya Janaushadhi Pariyojana (Jan Aushadhi / PMBJP),Govt of India — Dept. of Pharmaceuticals,Government — subsidised generics,"Most off-patent generics across all 3 areas (metformin, amlodipine, statins, glimepiride, iron, etc.)","Quality generic medicines at 50–90% lower price through 10,000+ Janaushadhi Kendras nationwide.",Walk in to any Janaushadhi Kendra; store locator at janaushadhi.gov.in.
saath7,Saath7,Sanofi India,Manufacturer PSP — education/adherence,Insulins & diabetes therapies,"Trained counsellors across 45 cities; in-person visits + daily telephonic counselling + virtual toolkits; ~100,000 patients/yr.",Doctor referral required; counsellor then enrols the patient. Not a free-drug scheme.
changing-diabetes-novo-nordisk-education-foundation,Changing Diabetes / Novo Nordisk Education Foundation,Novo Nordisk India,Manufacturer PSP — education/access,"Insulins; GLP-1s (semaglutide, liraglutide)","Diabetes education, injection training, adherence support; access-&-affordability initiatives; 'Changing Diabetes in Children'.","Via prescriber / program partners. Education & access, not routine free medicine."
lilly-diabetes-obesity-support,Lilly Diabetes & Obesity Support,Eli Lilly India,Manufacturer PSP — education/adherence,"Insulins, dulaglutide, tirzepatide (Mounjaro)","Counselling, injection training, adherence programs.",Via prescriber. Formal savings/discount cards for Mounjaro are US-only.
jardiance-trajenta-support,Jardiance / Trajenta Support,Boehringer Ingelheim–Lilly Alliance,Manufacturer PSP — adherence,"Empagliflozin, linagliptin","Adherence reminders, patient education for diabetes / heart failure.",Via prescriber; increasingly generic-competed molecules.
forxiga-brilinta-support,Forxiga & Brilinta Support,AstraZeneca India,Manufacturer PSP — adherence,"Dapagliflozin, ticagrelor","Post-ACS and diabetes/HF adherence, counselling and reminders.",Via prescriber; low-cost generics also available.
xarelto-patient-support,Xarelto Patient Support,Bayer India,Manufacturer PSP — adherence,Rivaroxaban (also Mirena counselling),Anticoagulation adherence & patient education; INR-free monitoring guidance.,Via prescriber; many rivaroxaban generics available.
amgen-patient-access-specialty,Amgen Patient Access (specialty),Amgen (India distributors),Manufacturer — specialty access/adherence,"Evolocumab (Repatha), denosumab (Prolia/Xgeva)","Access facilitation, injection scheduling & adherence support via specialty pharmacies.",Via specialist/specialty pharmacy. Confirm current program.
sparsh,Sparsh,Dr Reddy's Laboratories,Manufacturer — patient access program,Primarily specialty/; some chronic-care brands,"Access, adherence and financial-navigation support.",Via prescriber / DRL enrolment.
novartis-patient-support,Novartis Patient Support,Novartis India,Manufacturer PAP — subsidised (mainly onco/immunology),Limited relevance here except Sybrava EMI (above),Subsidised access for select high-cost specialty medicines.,Via specialist. Mostly oncology/immunology.
specialty-pharmacy-facilitators,Specialty-pharmacy facilitators,"MrMed, Tata 1mg, PSTakeCare, etc. (private)",Private — financing/discount + delivery,"High-cost injectables: GLP-1s, PCSK9, denosumab, teriparatide, FCM, GnRH depots","EMI/discounts, cold-chain doorstep delivery, and help enrolling in manufacturer PAPs.",Direct sign-up via their apps/websites.
national-family-planning-programme-antara-chhaya-cu-iucd-mala-n,"National Family Planning Programme (Antara, Chhaya, Cu-IUCD, Mala-N)",Govt of India — MoHFW,Government — free/subsidised,"DMPA (Antara), Centchroman (Chhaya), Copper-IUCD, OCPs, condoms",Free or highly subsidised contraception at public health facilities.,Government health centres / ASHA workers.
anaemia-mukt-bharat-rmnch-a,Anaemia Mukt Bharat / RMNCH+A,Govt of India — MoHFW,Government — free supply,"Oral iron–folic acid, IV iron (iron sucrose/FCM) in programs",Free IFA supplementation & anaemia management for pregnant/postpartum women and adolescents.,Public antenatal clinics / government hospitals.
fertility-cycle-packages,Fertility-cycle packages,"IVF chains (Nova, Indira, Cloudnine, etc.) & gonadotropin makers",Bundled pricing / EMI,"Gonadotropins (FSH/HMG/hCG), GnRH agonists/antagonists, progesterone",Injectable fertility drugs bundled into IVF/IUI package pricing; some clinics offer EMI.,Via the fertility clinic at treatment planning.
thyroid-osteoporosis-awareness,Thyroid & Osteoporosis Awareness,Abbott (thyroid) & others,Manufacturer — disease awareness/education,Levothyroxine; osteoporosis agents,Screening drives and patient education (e.g. 'Making India Thyroid Aware'); not financial assistance.,Public campaigns / screening camps.
